"","year","state","county_name","county_fips","party","candidatevotes","totalvotes"
"32442",2012,"GEORGIA","HABERSHAM",13137,"DEMOCRAT",2301,14641
"32443",2012,"GEORGIA","HABERSHAM",13137,"REPUBLICAN",12166,14641
"32445",2012,"GEORGIA","HALL",13139,"DEMOCRAT",12999,61364
"32446",2012,"GEORGIA","HALL",13139,"REPUBLICAN",47481,61364
"32448",2012,"GEORGIA","HANCOCK",13141,"DEMOCRAT",3308,4088
"32449",2012,"GEORGIA","HANCOCK",13141,"REPUBLICAN",769,4088
"32451",2012,"GEORGIA","HARALSON",13143,"DEMOCRAT",1789,10376
"32452",2012,"GEORGIA","HARALSON",13143,"REPUBLICAN",8446,10376
"32454",2012,"GEORGIA","HARRIS",13145,"DEMOCRAT",4145,15488
"32455",2012,"GEORGIA","HARRIS",13145,"REPUBLICAN",11197,15488
"32457",2012,"GEORGIA","HART",13147,"DEMOCRAT",2870,9511
"32458",2012,"GEORGIA","HART",13147,"REPUBLICAN",6517,9511
"32460",2012,"GEORGIA","HEARD",13149,"DEMOCRAT",948,4172
"32461",2012,"GEORGIA","HEARD",13149,"REPUBLICAN",3160,4172
"32463",2012,"GEORGIA","HENRY",13151,"DEMOCRAT",43761,91378
"32464",2012,"GEORGIA","HENRY",13151,"REPUBLICAN",46774,91378
"32466",2012,"GEORGIA","HOUSTON",13153,"DEMOCRAT",22702,58056
"32467",2012,"GEORGIA","HOUSTON",13153,"REPUBLICAN",34662,58056
"32469",2012,"GEORGIA","IRWIN",13155,"DEMOCRAT",1141,3709
"32470",2012,"GEORGIA","IRWIN",13155,"REPUBLICAN",2538,3709
"32472",2012,"GEORGIA","JACKSON",13157,"DEMOCRAT",4238,23704
"32473",2012,"GEORGIA","JACKSON",13157,"REPUBLICAN",19135,23704
"32475",2012,"GEORGIA","JASPER",13159,"DEMOCRAT",1845,6031
"32476",2012,"GEORGIA","JASPER",13159,"REPUBLICAN",4136,6031
"32478",2012,"GEORGIA","JEFF DAVIS",13161,"DEMOCRAT",1275,5336
"32479",2012,"GEORGIA","JEFF DAVIS",13161,"REPUBLICAN",3996,5336
"32481",2012,"GEORGIA","JEFFERSON",13163,"DEMOCRAT",4261,7298
"32482",2012,"GEORGIA","JEFFERSON",13163,"REPUBLICAN",2999,7298
"32484",2012,"GEORGIA","JENKINS",13165,"DEMOCRAT",1488,3390
"32485",2012,"GEORGIA","JENKINS",13165,"REPUBLICAN",1887,3390
"32487",2012,"GEORGIA","JOHNSON",13167,"DEMOCRAT",1305,3772
"32488",2012,"GEORGIA","JOHNSON",13167,"REPUBLICAN",2440,3772
"32490",2012,"GEORGIA","JONES",13169,"DEMOCRAT",4274,12105
"32491",2012,"GEORGIA","JONES",13169,"REPUBLICAN",7744,12105
"32493",2012,"GEORGIA","LAMAR",13171,"DEMOCRAT",2602,7592
"32494",2012,"GEORGIA","LAMAR",13171,"REPUBLICAN",4899,7592
"32496",2012,"GEORGIA","LANIER",13173,"DEMOCRAT",1114,2972
"32497",2012,"GEORGIA","LANIER",13173,"REPUBLICAN",1820,2972
"32499",2012,"GEORGIA","LAURENS",13175,"DEMOCRAT",7513,19604
"32500",2012,"GEORGIA","LAURENS",13175,"REPUBLICAN",11950,19604
"32502",2012,"GEORGIA","LEE",13177,"DEMOCRAT",3196,13628
"32503",2012,"GEORGIA","LEE",13177,"REPUBLICAN",10314,13628
"32505",2012,"GEORGIA","LIBERTY",13179,"DEMOCRAT",10457,16170
"32506",2012,"GEORGIA","LIBERTY",13179,"REPUBLICAN",5565,16170
"32508",2012,"GEORGIA","LINCOLN",13181,"DEMOCRAT",1586,4426
"32509",2012,"GEORGIA","LINCOLN",13181,"REPUBLICAN",2807,4426
"32511",2012,"GEORGIA","LONG",13183,"DEMOCRAT",1442,3802
"32512",2012,"GEORGIA","LONG",13183,"REPUBLICAN",2306,3802
"32514",2012,"GEORGIA","LOWNDES",13185,"DEMOCRAT",17470,39137
"32515",2012,"GEORGIA","LOWNDES",13185,"REPUBLICAN",21327,39137
"32517",2012,"GEORGIA","LUMPKIN",13187,"DEMOCRAT",2055,10905
"32518",2012,"GEORGIA","LUMPKIN",13187,"REPUBLICAN",8647,10905
"32520",2012,"GEORGIA","MCDUFFIE",13189,"DEMOCRAT",4044,9592
"32521",2012,"GEORGIA","MCDUFFIE",13189,"REPUBLICAN",5475,9592
"32523",2012,"GEORGIA","MCINTOSH",13191,"DEMOCRAT",2864,6341
"32524",2012,"GEORGIA","MCINTOSH",13191,"REPUBLICAN",3409,6341
"32526",2012,"GEORGIA","MACON",13193,"DEMOCRAT",3211,4781
"32527",2012,"GEORGIA","MACON",13193,"REPUBLICAN",1545,4781
"32529",2012,"GEORGIA","MADISON",13195,"DEMOCRAT",2494,11104
"32530",2012,"GEORGIA","MADISON",13195,"REPUBLICAN",8443,11104
"32532",2012,"GEORGIA","MARION",13197,"DEMOCRAT",1412,3170
"32533",2012,"GEORGIA","MARION",13197,"REPUBLICAN",1733,3170
"32535",2012,"GEORGIA","MERIWETHER",13199,"DEMOCRAT",4331,9264
"32536",2012,"GEORGIA","MERIWETHER",13199,"REPUBLICAN",4856,9264
"32538",2012,"GEORGIA","MILLER",13201,"DEMOCRAT",852,2775
"32539",2012,"GEORGIA","MILLER",13201,"REPUBLICAN",1905,2775
"32541",2012,"GEORGIA","MITCHELL",13205,"DEMOCRAT",4081,8275
"32542",2012,"GEORGIA","MITCHELL",13205,"REPUBLICAN",4155,8275
"32544",2012,"GEORGIA","MONROE",13207,"DEMOCRAT",3785,12277
"32545",2012,"GEORGIA","MONROE",13207,"REPUBLICAN",8361,12277
"32547",2012,"GEORGIA","MONTGOMERY",13209,"DEMOCRAT",1135,3832
"32548",2012,"GEORGIA","MONTGOMERY",13209,"REPUBLICAN",2662,3832
"32550",2012,"GEORGIA","MORGAN",13211,"DEMOCRAT",2753,9027
"32551",2012,"GEORGIA","MORGAN",13211,"REPUBLICAN",6186,9027
"32553",2012,"GEORGIA","MURRAY",13213,"DEMOCRAT",2542,11217
"32554",2012,"GEORGIA","MURRAY",13213,"REPUBLICAN",8443,11217
"32556",2012,"GEORGIA","MUSCOGEE",13215,"DEMOCRAT",42573,70603
"32557",2012,"GEORGIA","MUSCOGEE",13215,"REPUBLICAN",27510,70603
"32559",2012,"GEORGIA","NEWTON",13217,"DEMOCRAT",21851,43234
"32560",2012,"GEORGIA","NEWTON",13217,"REPUBLICAN",20982,43234
"32562",2012,"GEORGIA","OCONEE",13219,"DEMOCRAT",4421,17817
"32563",2012,"GEORGIA","OCONEE",13219,"REPUBLICAN",13098,17817
"32565",2012,"GEORGIA","OGLETHORPE",13221,"DEMOCRAT",1914,6273
"32566",2012,"GEORGIA","OGLETHORPE",13221,"REPUBLICAN",4251,6273
"32568",2012,"GEORGIA","PAULDING",13223,"DEMOCRAT",15825,57399
"32569",2012,"GEORGIA","PAULDING",13223,"REPUBLICAN",40846,57399
"32571",2012,"GEORGIA","PEACH",13225,"DEMOCRAT",6148,11516
"32572",2012,"GEORGIA","PEACH",13225,"REPUBLICAN",5287,11516
"32574",2012,"GEORGIA","PICKENS",13227,"DEMOCRAT",1975,12680
"32575",2012,"GEORGIA","PICKENS",13227,"REPUBLICAN",10547,12680
"32577",2012,"GEORGIA","PIERCE",13229,"DEMOCRAT",1124,6846
"32578",2012,"GEORGIA","PIERCE",13229,"REPUBLICAN",5667,6846
"32580",2012,"GEORGIA","PIKE",13231,"DEMOCRAT",1356,8109
"32581",2012,"GEORGIA","PIKE",13231,"REPUBLICAN",6668,8109
"32583",2012,"GEORGIA","POLK",13233,"DEMOCRAT",3615,13608
"32584",2012,"GEORGIA","POLK",13233,"REPUBLICAN",9811,13608
"32586",2012,"GEORGIA","PULASKI",13235,"DEMOCRAT",1219,3682
"32587",2012,"GEORGIA","PULASKI",13235,"REPUBLICAN",2444,3682
"32589",2012,"GEORGIA","PUTNAM",13237,"DEMOCRAT",2926,9222
"32590",2012,"GEORGIA","PUTNAM",13237,"REPUBLICAN",6215,9222
"32592",2012,"GEORGIA","QUITMAN",13239,"DEMOCRAT",612,1128
"32593",2012,"GEORGIA","QUITMAN",13239,"REPUBLICAN",510,1128
"32595",2012,"GEORGIA","RABUN",13241,"DEMOCRAT",1559,7463
"32596",2012,"GEORGIA","RABUN",13241,"REPUBLICAN",5754,7463
"32598",2012,"GEORGIA","RANDOLPH",13243,"DEMOCRAT",1770,3058
"32599",2012,"GEORGIA","RANDOLPH",13243,"REPUBLICAN",1271,3058
"32601",2012,"GEORGIA","RICHMOND",13245,"DEMOCRAT",52560,79020
"32602",2012,"GEORGIA","RICHMOND",13245,"REPUBLICAN",25845,79020
"32604",2012,"GEORGIA","ROCKDALE",13247,"DEMOCRAT",22023,38085
"32605",2012,"GEORGIA","ROCKDALE",13247,"REPUBLICAN",15716,38085
"32607",2012,"GEORGIA","SCHLEY",13249,"DEMOCRAT",448,1748
"32608",2012,"GEORGIA","SCHLEY",13249,"REPUBLICAN",1286,1748
"32610",2012,"GEORGIA","SCREVEN",13251,"DEMOCRAT",2774,6100
"32611",2012,"GEORGIA","SCREVEN",13251,"REPUBLICAN",3287,6100
"32613",2012,"GEORGIA","SEMINOLE",13253,"DEMOCRAT",1478,3769
"32614",2012,"GEORGIA","SEMINOLE",13253,"REPUBLICAN",2245,3769
"32616",2012,"GEORGIA","SPALDING",13255,"DEMOCRAT",9898,25088
"32617",2012,"GEORGIA","SPALDING",13255,"REPUBLICAN",14911,25088
"32619",2012,"GEORGIA","STEPHENS",13257,"DEMOCRAT",2131,9498
"32620",2012,"GEORGIA","STEPHENS",13257,"REPUBLICAN",7221,9498
"32622",2012,"GEORGIA","STEWART",13259,"DEMOCRAT",1323,2076
"32623",2012,"GEORGIA","STEWART",13259,"REPUBLICAN",745,2076
"32625",2012,"GEORGIA","SUMTER",13261,"DEMOCRAT",6375,11831
"32626",2012,"GEORGIA","SUMTER",13261,"REPUBLICAN",5378,11831
"32628",2012,"GEORGIA","TALBOT",13263,"DEMOCRAT",2265,3491
"32629",2012,"GEORGIA","TALBOT",13263,"REPUBLICAN",1202,3491
"32631",2012,"GEORGIA","TALIAFERRO",13265,"DEMOCRAT",636,963
"32632",2012,"GEORGIA","TALIAFERRO",13265,"REPUBLICAN",323,963
"32634",2012,"GEORGIA","TATTNALL",13267,"DEMOCRAT",1897,6667
"32635",2012,"GEORGIA","TATTNALL",13267,"REPUBLICAN",4706,6667
"32637",2012,"GEORGIA","TAYLOR",13269,"DEMOCRAT",1572,3538
"32638",2012,"GEORGIA","TAYLOR",13269,"REPUBLICAN",1948,3538
"32640",2012,"GEORGIA","TELFAIR",13271,"DEMOCRAT",1805,4336
"32641",2012,"GEORGIA","TELFAIR",13271,"REPUBLICAN",2480,4336
"32643",2012,"GEORGIA","TERRELL",13273,"DEMOCRAT",2544,4398
"32644",2012,"GEORGIA","TERRELL",13273,"REPUBLICAN",1834,4398
"32646",2012,"GEORGIA","THOMAS",13275,"DEMOCRAT",7653,18953
"32647",2012,"GEORGIA","THOMAS",13275,"REPUBLICAN",11156,18953
"32649",2012,"GEORGIA","TIFT",13277,"DEMOCRAT",4660,13927
"32650",2012,"GEORGIA","TIFT",13277,"REPUBLICAN",9185,13927
"32652",2012,"GEORGIA","TOOMBS",13279,"DEMOCRAT",2746,9344
"32653",2012,"GEORGIA","TOOMBS",13279,"REPUBLICAN",6524,9344
"32655",2012,"GEORGIA","TOWNS",13281,"DEMOCRAT",1273,6211
"32656",2012,"GEORGIA","TOWNS",13281,"REPUBLICAN",4876,6211
"32658",2012,"GEORGIA","TREUTLEN",13283,"DEMOCRAT",1074,2750
"32659",2012,"GEORGIA","TREUTLEN",13283,"REPUBLICAN",1652,2750
"32661",2012,"GEORGIA","TROUP",13285,"DEMOCRAT",10547,25986
"32662",2012,"GEORGIA","TROUP",13285,"REPUBLICAN",15179,25986
"32664",2012,"GEORGIA","TURNER",13287,"DEMOCRAT",1510,3559
"32665",2012,"GEORGIA","TURNER",13287,"REPUBLICAN",2028,3559
"32667",2012,"GEORGIA","TWIGGS",13289,"DEMOCRAT",2270,4202
"32668",2012,"GEORGIA","TWIGGS",13289,"REPUBLICAN",1907,4202
"32670",2012,"GEORGIA","UNION",13291,"DEMOCRAT",2139,11079
"32671",2012,"GEORGIA","UNION",13291,"REPUBLICAN",8773,11079
"32673",2012,"GEORGIA","UPSON",13293,"DEMOCRAT",3959,11263
"32674",2012,"GEORGIA","UPSON",13293,"REPUBLICAN",7230,11263
"32676",2012,"GEORGIA","WALKER",13295,"DEMOCRAT",5274,21896
"32677",2012,"GEORGIA","WALKER",13295,"REPUBLICAN",16247,21896
"32679",2012,"GEORGIA","WALTON",13297,"DEMOCRAT",8148,37612
"32680",2012,"GEORGIA","WALTON",13297,"REPUBLICAN",29036,37612
"32682",2012,"GEORGIA","WARE",13299,"DEMOCRAT",3900,11939
"32683",2012,"GEORGIA","WARE",13299,"REPUBLICAN",7941,11939
"32685",2012,"GEORGIA","WARREN",13301,"DEMOCRAT",1529,2526
"32686",2012,"GEORGIA","WARREN",13301,"REPUBLICAN",990,2526
"32688",2012,"GEORGIA","WASHINGTON",13303,"DEMOCRAT",4714,8808
"32689",2012,"GEORGIA","WASHINGTON",13303,"REPUBLICAN",4035,8808
"32691",2012,"GEORGIA","WAYNE",13305,"DEMOCRAT",2596,10269
"32692",2012,"GEORGIA","WAYNE",13305,"REPUBLICAN",7557,10269
"32694",2012,"GEORGIA","WEBSTER",13307,"DEMOCRAT",582,1187
"32695",2012,"GEORGIA","WEBSTER",13307,"REPUBLICAN",601,1187
"32697",2012,"GEORGIA","WHEELER",13309,"DEMOCRAT",772,2160
"32698",2012,"GEORGIA","WHEELER",13309,"REPUBLICAN",1366,2160
"32700",2012,"GEORGIA","WHITE",13311,"DEMOCRAT",1671,10488
"32701",2012,"GEORGIA","WHITE",13311,"REPUBLICAN",8651,10488
"32703",2012,"GEORGIA","WHITFIELD",13313,"DEMOCRAT",7210,26876
"32704",2012,"GEORGIA","WHITFIELD",13313,"REPUBLICAN",19305,26876
"32706",2012,"GEORGIA","WILCOX",13315,"DEMOCRAT",1060,3129
"32707",2012,"GEORGIA","WILCOX",13315,"REPUBLICAN",2053,3129
"32709",2012,"GEORGIA","WILKES",13317,"DEMOCRAT",2087,4761
"32710",2012,"GEORGIA","WILKES",13317,"REPUBLICAN",2635,4761
"32712",2012,"GEORGIA","WILKINSON",13319,"DEMOCRAT",2181,4450
"32713",2012,"GEORGIA","WILKINSON",13319,"REPUBLICAN",2246,4450
"32715",2012,"GEORGIA","WORTH",13321,"DEMOCRAT",2487,8419
"32716",2012,"GEORGIA","WORTH",13321,"REPUBLICAN",5869,8419
"32718",2012,"HAWAII","HAWAII",15001,"DEMOCRAT",47224,63454
"32719",2012,"HAWAII","HAWAII",15001,"REPUBLICAN",14753,63454
"32721",2012,"HAWAII","HONOLULU",15003,"DEMOCRAT",204349,296742
"32722",2012,"HAWAII","HONOLULU",15003,"REPUBLICAN",88461,296742
"32724",2012,"HAWAII","KAUAI",15007,"DEMOCRAT",18641,25372
"32725",2012,"HAWAII","KAUAI",15007,"REPUBLICAN",6121,25372
"32727",2012,"HAWAII","MAUI",15009,"DEMOCRAT",36052,48653
"32728",2012,"HAWAII","MAUI",15009,"REPUBLICAN",11602,48653
"32730",2012,"IDAHO","ADA",16001,"DEMOCRAT",77137,180546
"32731",2012,"IDAHO","ADA",16001,"REPUBLICAN",97554,180546
"32733",2012,"IDAHO","ADAMS",16003,"DEMOCRAT",577,2060
"32734",2012,"IDAHO","ADAMS",16003,"REPUBLICAN",1413,2060
"32736",2012,"IDAHO","BANNOCK",16005,"DEMOCRAT",13214,35260
"32737",2012,"IDAHO","BANNOCK",16005,"REPUBLICAN",21010,35260
"32739",2012,"IDAHO","BEAR LAKE",16007,"DEMOCRAT",302,2822
"32740",2012,"IDAHO","BEAR LAKE",16007,"REPUBLICAN",2489,2822
"32742",2012,"IDAHO","BENEWAH",16009,"DEMOCRAT",1164,3884
"32743",2012,"IDAHO","BENEWAH",16009,"REPUBLICAN",2596,3884
"32745",2012,"IDAHO","BINGHAM",16011,"DEMOCRAT",3822,17603
"32746",2012,"IDAHO","BINGHAM",16011,"REPUBLICAN",13440,17603
"32748",2012,"IDAHO","BLAINE",16013,"DEMOCRAT",5992,10194
"32749",2012,"IDAHO","BLAINE",16013,"REPUBLICAN",3939,10194
"32751",2012,"IDAHO","BOISE",16015,"DEMOCRAT",1053,3445
"32752",2012,"IDAHO","BOISE",16015,"REPUBLICAN",2284,3445
"32754",2012,"IDAHO","BONNER",16017,"DEMOCRAT",6500,18536
"32755",2012,"IDAHO","BONNER",16017,"REPUBLICAN",11367,18536
"32757",2012,"IDAHO","BONNEVILLE",16019,"DEMOCRAT",9903,43213
"32758",2012,"IDAHO","BONNEVILLE",16019,"REPUBLICAN",32276,43213
"32760",2012,"IDAHO","BOUNDARY",16021,"DEMOCRAT",1225,4544
"32761",2012,"IDAHO","BOUNDARY",16021,"REPUBLICAN",3138,4544
"32763",2012,"IDAHO","BUTTE",16023,"DEMOCRAT",258,1286
"32764",2012,"IDAHO","BUTTE",16023,"REPUBLICAN",1001,1286
"32766",2012,"IDAHO","CAMAS",16025,"DEMOCRAT",159,578
"32767",2012,"IDAHO","CAMAS",16025,"REPUBLICAN",402,578
"32769",2012,"IDAHO","CANYON",16027,"DEMOCRAT",19866,66090
"32770",2012,"IDAHO","CANYON",16027,"REPUBLICAN",44369,66090
"32772",2012,"IDAHO","CARIBOU",16029,"DEMOCRAT",386,3052
"32773",2012,"IDAHO","CARIBOU",16029,"REPUBLICAN",2608,3052
"32775",2012,"IDAHO","CASSIA",16031,"DEMOCRAT",1098,8396
"32776",2012,"IDAHO","CASSIA",16031,"REPUBLICAN",7154,8396
"32778",2012,"IDAHO","CLARK",16033,"DEMOCRAT",66,328
"32779",2012,"IDAHO","CLARK",16033,"REPUBLICAN",235,328
"32781",2012,"IDAHO","CLEARWATER",16035,"DEMOCRAT",1032,3696
"32782",2012,"IDAHO","CLEARWATER",16035,"REPUBLICAN",2541,3696
"32784",2012,"IDAHO","CUSTER",16037,"DEMOCRAT",530,2352
"32785",2012,"IDAHO","CUSTER",16037,"REPUBLICAN",1744,2352
"32787",2012,"IDAHO","ELMORE",16039,"DEMOCRAT",2513,8001
"32788",2012,"IDAHO","ELMORE",16039,"REPUBLICAN",5227,8001
"32790",2012,"IDAHO","FRANKLIN",16041,"DEMOCRAT",325,5600
"32791",2012,"IDAHO","FRANKLIN",16041,"REPUBLICAN",5195,5600
"32793",2012,"IDAHO","FREMONT",16043,"DEMOCRAT",810,5802
"32794",2012,"IDAHO","FREMONT",16043,"REPUBLICAN",4907,5802
"32796",2012,"IDAHO","GEM",16045,"DEMOCRAT",1957,7490
"32797",2012,"IDAHO","GEM",16045,"REPUBLICAN",5311,7490
"32799",2012,"IDAHO","GOODING",16047,"DEMOCRAT",1287,5118
"32800",2012,"IDAHO","GOODING",16047,"REPUBLICAN",3696,5118
"32802",2012,"IDAHO","IDAHO",16049,"DEMOCRAT",1708,7837
"32803",2012,"IDAHO","IDAHO",16049,"REPUBLICAN",5921,7837
"32805",2012,"IDAHO","JEFFERSON",16051,"DEMOCRAT",1303,11381
"32806",2012,"IDAHO","JEFFERSON",16051,"REPUBLICAN",9895,11381
"32808",2012,"IDAHO","JEROME",16053,"DEMOCRAT",1699,6681
"32809",2012,"IDAHO","JEROME",16053,"REPUBLICAN",4804,6681
"32811",2012,"IDAHO","KOOTENAI",16055,"DEMOCRAT",18851,59828
"32812",2012,"IDAHO","KOOTENAI",16055,"REPUBLICAN",39381,59828
"32814",2012,"IDAHO","LATAH",16057,"DEMOCRAT",8306,16759
"32815",2012,"IDAHO","LATAH",16057,"REPUBLICAN",7589,16759
"32817",2012,"IDAHO","LEMHI",16059,"DEMOCRAT",960,4110
"32818",2012,"IDAHO","LEMHI",16059,"REPUBLICAN",3029,4110
"32820",2012,"IDAHO","LEWIS",16061,"DEMOCRAT",396,1614
"32821",2012,"IDAHO","LEWIS",16061,"REPUBLICAN",1173,1614
"32823",2012,"IDAHO","LINCOLN",16063,"DEMOCRAT",469,1662
"32824",2012,"IDAHO","LINCOLN",16063,"REPUBLICAN",1141,1662
"32826",2012,"IDAHO","MADISON",16065,"DEMOCRAT",832,14412
"32827",2012,"IDAHO","MADISON",16065,"REPUBLICAN",13445,14412
"32829",2012,"IDAHO","MINIDOKA",16067,"DEMOCRAT",1390,6973
"32830",2012,"IDAHO","MINIDOKA",16067,"REPUBLICAN",5442,6973
"32832",2012,"IDAHO","NEZ PERCE",16069,"DEMOCRAT",6451,16848
"32833",2012,"IDAHO","NEZ PERCE",16069,"REPUBLICAN",9967,16848
"32835",2012,"IDAHO","ONEIDA",16071,"DEMOCRAT",217,2089
"32836",2012,"IDAHO","ONEIDA",16071,"REPUBLICAN",1838,2089
"32838",2012,"IDAHO","OWYHEE",16073,"DEMOCRAT",833,3724
"32839",2012,"IDAHO","OWYHEE",16073,"REPUBLICAN",2794,3724
"32841",2012,"IDAHO","PAYETTE",16075,"DEMOCRAT",2271,8495
"32842",2012,"IDAHO","PAYETTE",16075,"REPUBLICAN",6004,8495
"32844",2012,"IDAHO","POWER",16077,"DEMOCRAT",982,2903
"32845",2012,"IDAHO","POWER",16077,"REPUBLICAN",1870,2903
"32847",2012,"IDAHO","SHOSHONE",16079,"DEMOCRAT",2277,5148
"32848",2012,"IDAHO","SHOSHONE",16079,"REPUBLICAN",2699,5148
"32850",2012,"IDAHO","TETON",16081,"DEMOCRAT",1926,4523
"32851",2012,"IDAHO","TETON",16081,"REPUBLICAN",2458,4523
"32853",2012,"IDAHO","TWIN FALLS",16083,"DEMOCRAT",7541,28142
"32854",2012,"IDAHO","TWIN FALLS",16083,"REPUBLICAN",19773,28142
"32856",2012,"IDAHO","VALLEY",16085,"DEMOCRAT",2095,4919
"32857",2012,"IDAHO","VALLEY",16085,"REPUBLICAN",2664,4919
"32859",2012,"IDAHO","WASHINGTON",16087,"DEMOCRAT",1104,4330
"32860",2012,"IDAHO","WASHINGTON",16087,"REPUBLICAN",3128,4330
"32862",2012,"ILLINOIS","ADAMS",17001,"DEMOCRAT",9648,30607
"32863",2012,"ILLINOIS","ADAMS",17001,"REPUBLICAN",20416,30607
"32865",2012,"ILLINOIS","ALEXANDER",17003,"DEMOCRAT",1965,3501
"32866",2012,"ILLINOIS","ALEXANDER",17003,"REPUBLICAN",1487,3501
"32868",2012,"ILLINOIS","BOND",17005,"DEMOCRAT",3020,7336
"32869",2012,"ILLINOIS","BOND",17005,"REPUBLICAN",4095,7336
"32871",2012,"ILLINOIS","BOONE",17007,"DEMOCRAT",9883,21365
"32872",2012,"ILLINOIS","BOONE",17007,"REPUBLICAN",11096,21365
"32874",2012,"ILLINOIS","BROWN",17009,"DEMOCRAT",787,2364
"32875",2012,"ILLINOIS","BROWN",17009,"REPUBLICAN",1513,2364
"32877",2012,"ILLINOIS","BUREAU",17011,"DEMOCRAT",8134,16631
"32878",2012,"ILLINOIS","BUREAU",17011,"REPUBLICAN",8164,16631
"32880",2012,"ILLINOIS","CALHOUN",17013,"DEMOCRAT",1080,2576
"32881",2012,"ILLINOIS","CALHOUN",17013,"REPUBLICAN",1440,2576
"32883",2012,"ILLINOIS","CARROLL",17015,"DEMOCRAT",3665,7386
"32884",2012,"ILLINOIS","CARROLL",17015,"REPUBLICAN",3555,7386
"32886",2012,"ILLINOIS","CASS",17017,"DEMOCRAT",2053,4862
"32887",2012,"ILLINOIS","CASS",17017,"REPUBLICAN",2707,4862
"32889",2012,"ILLINOIS","CHAMPAIGN",17019,"DEMOCRAT",40831,78359
"32890",2012,"ILLINOIS","CHAMPAIGN",17019,"REPUBLICAN",35312,78359
"32892",2012,"ILLINOIS","CHRISTIAN",17021,"DEMOCRAT",5494,14701
"32893",2012,"ILLINOIS","CHRISTIAN",17021,"REPUBLICAN",8885,14701
"32895",2012,"ILLINOIS","CLARK",17023,"DEMOCRAT",2591,7860
"32896",2012,"ILLINOIS","CLARK",17023,"REPUBLICAN",5144,7860
"32898",2012,"ILLINOIS","CLAY",17025,"DEMOCRAT",1584,5908
"32899",2012,"ILLINOIS","CLAY",17025,"REPUBLICAN",4190,5908
"32901",2012,"ILLINOIS","CLINTON",17027,"DEMOCRAT",5596,16450
"32902",2012,"ILLINOIS","CLINTON",17027,"REPUBLICAN",10524,16450
"32904",2012,"ILLINOIS","COLES",17029,"DEMOCRAT",9262,21358
"32905",2012,"ILLINOIS","COLES",17029,"REPUBLICAN",11631,21358
"32907",2012,"ILLINOIS","COOK",17031,"DEMOCRAT",1488537,2011597
"32908",2012,"ILLINOIS","COOK",17031,"REPUBLICAN",495542,2011597
"32910",2012,"ILLINOIS","CRAWFORD",17033,"DEMOCRAT",2858,8609
"32911",2012,"ILLINOIS","CRAWFORD",17033,"REPUBLICAN",5585,8609
"32913",2012,"ILLINOIS","CUMBERLAND",17035,"DEMOCRAT",1641,5295
"32914",2012,"ILLINOIS","CUMBERLAND",17035,"REPUBLICAN",3509,5295
"32916",2012,"ILLINOIS","DEKALB",17037,"DEMOCRAT",21207,41092
"32917",2012,"ILLINOIS","DEKALB",17037,"REPUBLICAN",18934,41092
"32919",2012,"ILLINOIS","DE WITT",17039,"DEMOCRAT",2601,7345
"32920",2012,"ILLINOIS","DE WITT",17039,"REPUBLICAN",4579,7345
"32922",2012,"ILLINOIS","DOUGLAS",17041,"DEMOCRAT",2430,7897
"32923",2012,"ILLINOIS","DOUGLAS",17041,"REPUBLICAN",5334,7897
"32925",2012,"ILLINOIS","DUPAGE",17043,"DEMOCRAT",199460,401079
"32926",2012,"ILLINOIS","DUPAGE",17043,"REPUBLICAN",195046,401079
"32928",2012,"ILLINOIS","EDGAR",17045,"DEMOCRAT",2565,7819
"32929",2012,"ILLINOIS","EDGAR",17045,"REPUBLICAN",5132,7819
"32931",2012,"ILLINOIS","EDWARDS",17047,"DEMOCRAT",754,3228
"32932",2012,"ILLINOIS","EDWARDS",17047,"REPUBLICAN",2405,3228
"32934",2012,"ILLINOIS","EFFINGHAM",17049,"DEMOCRAT",3861,16613
"32935",2012,"ILLINOIS","EFFINGHAM",17049,"REPUBLICAN",12501,16613
"32937",2012,"ILLINOIS","FAYETTE",17051,"DEMOCRAT",2853,8971
"32938",2012,"ILLINOIS","FAYETTE",17051,"REPUBLICAN",5951,8971
"32940",2012,"ILLINOIS","FORD",17053,"DEMOCRAT",1656,6006
"32941",2012,"ILLINOIS","FORD",17053,"REPUBLICAN",4229,6006
"32943",2012,"ILLINOIS","FRANKLIN",17055,"DEMOCRAT",7254,17914
"32944",2012,"ILLINOIS","FRANKLIN",17055,"REPUBLICAN",10267,17914
"32946",2012,"ILLINOIS","FULTON",17057,"DEMOCRAT",8328,15356
"32947",2012,"ILLINOIS","FULTON",17057,"REPUBLICAN",6632,15356
"32949",2012,"ILLINOIS","GALLATIN",17059,"DEMOCRAT",1029,2573
"32950",2012,"ILLINOIS","GALLATIN",17059,"REPUBLICAN",1492,2573
"32952",2012,"ILLINOIS","GREENE",17061,"DEMOCRAT",2023,5622
"32953",2012,"ILLINOIS","GREENE",17061,"REPUBLICAN",3451,5622
"32955",2012,"ILLINOIS","GRUNDY",17063,"DEMOCRAT",9451,21244
"32956",2012,"ILLINOIS","GRUNDY",17063,"REPUBLICAN",11343,21244
"32958",2012,"ILLINOIS","HAMILTON",17065,"DEMOCRAT",1269,3941
"32959",2012,"ILLINOIS","HAMILTON",17065,"REPUBLICAN",2566,3941
"32961",2012,"ILLINOIS","HANCOCK",17067,"DEMOCRAT",3650,9111
"32962",2012,"ILLINOIS","HANCOCK",17067,"REPUBLICAN",5271,9111
